#功体编号	功体名称	功体叙述	提升叙述	每次重数提升能力	最高重数提升能力	经验曲线	图片icon	效果	开启条件	效果	开启条件	效果	开启条件	效果
#ID	Name	Desc	sUpgradeNotes	LevelUP	MaxUP	iExp	sIcon1	ConditionEffectID1	sConditions	ConditionEffectID2	sConditions	ConditionEffectID3	sConditions	ConditionEffectID3
60060	易筋经	少林七十二绝技之一，也是世上最为绝顶的武学，相传为达摩祖师融合天竺瑜珈所创。修习方式可参照秘籍上的图像由外而内；亦可熟读详解经文，由内而外。经文仅寥寥数百余字，但无一不是武学至理。	气血+250，内力+200<br>满重增益：气血+500	(1,250)*(3,200)	(1,500)	11	NeigongImage33	987221	(10,0,60060,1)	100055	(10,0,60060,7)	100054	(10,0,60060,10)	910069
60061	明玉功	亦是绝顶的内家正宗心法，共分十重，原理大异于世间武学。大成时，运功时肌肤通透如玉，功力不会往外发散，而是向内收敛，故而运功不损内力，而体内真气生生不息，反而会逐步增加。	气血+120，内力+50<br>满重增益：暴击+5%，闪避+5%[-][/c]<br>一重：冰冻 七重：累进攻击 十重：闪避	(1,120)*(3,50)	(14,3)*(53,5)	8	NeigongImage33	100078	(10,0,60061,1)	100015	(10,0,60061,7)	100033	(10,0,60061,10)	987024
60062	九阴飞絮	江湖上最为绝顶的功夫之一，书中所记载的武学包罗万象，博大精深，威力无俦。「天之道，损有余而补不足，是故虚胜实，不足胜有余。其意博，其理奥，其趣深。天地之像分，阴阳之侯烈，变化之由表，死生之兆章。」可谓九阴真经之宗旨。	气血+100，内力+50<br>满重增益：暴击+10%，移动距离+1	(1,100)*(3,50)	(53,10)*(4,1)	8	NeigongImage33	100019	(10,0,60062,1)	100017	(10,0,60062,7)	100077	(10,0,60062,10)	987024
60063	先天功	昔年重阳真人｢中神通｣的武学心法，相传为上古时期的人祖｢伏羲｣衍先天八卦后所创，此功法集天地之灵气、日月之精华，自古以来，即为道家至高无上的修真练气法诀。	气血+200，内力+150<br>满重增益：气血+500，内力+300	(1,200)*(3,150)	(1,500)*(3,300)	10	NeigongImage33	100026	(10,0,60063,1)	100043	(10,0,60063,7)	100025	(10,0,60063,10)	910069
60064	蛟龙翻江	敖广自创的一套内功心法。时时在大江出海口的怒涛中锻炼，让他的内功已臻至一流高手之境。内功如钱塘大潮，一浪迭过一浪，旧力未消，新力已生，重重堆栈下，令敌人无可抵挡。	气血+80，内力+40<br>满重增益：暴击+5%，抗暴+10%，气血+300[-][/c]<br>一重：恐惧 七重：周遭敌人降闪避 十重：累进攻击	(1,80)*(3,40)	(53,5)*(1,300)*(57,10)	6	NeigongImage33	100068	(10,0,60064,1)	100052	(10,0,60064,7)	100015	(10,0,60064,10)	987024
60065	倚天屠龙功	武当真人张三丰所创的武功，原本是铁笔银钩的短兵近身战法，后人从中领悟出一套内功，可配合武当派的调息功夫。	气血+70，内力+40<br>满重增益：反击+5%	(1,70)*(3,40)	(52,5)	5	NeigongImage33	100039	(10,0,60065,1)	100043	(10,0,60065,7)	100013	(10,0,60065,10)	987009
60066	意寒神功	昔年雪山派独门内功，练功者全身会发出隐隐寒气。	气血+60，内力+40<br>满重增益：反击+5%，暴击+5%	(1,60)*(3,40)	(52,5)*(53,5)	6	NeigongImage33	100041	(10,0,60066,1)	100064	(10,0,60066,7)	100078	(10,0,60066,10)	987009
60067	混元功	混元功另辟蹊径，由外而内修练，虽说修炼费时且见效慢，但没有走火入魔的危险，练成后临敌应战时招式中自有内劲相附，威力极大。	气血+100，内力+80<br>满重增益：气血+500[-][/c]<br>一重：回复 七重：免疫暴击 十重：暴击后霸体	(3,80)*(1,100)	(1,500)	8	NeigongImage33	100025	(10,0,60067,1)	100051	(10,0,60067,7)	100034	(10,0,60067,10)	987024
60068	药王神篇	由「毒手药王」所著，乃药王庄至宝，九成为治病救伤的医道，一成则为练毒施毒，种植毒草、培养毒虫之法。	气血+100<br>满重增益：气血+500[-][/c]<br>一重：免疫中毒 七重：回复 十重：周遭回复	(1,100)	(1,500)	4	NeigongImage33	500093	(10,0,60068,1)	100025	(10,0,60068,7)	100029	(10,0,60068,10)	987009
60069	十王走马势	谷月轩自弦箫洞棋局中所领悟到的运气方法，讲究先弃后取，请君入瓮，自身受伤愈重愈能反激出破敌之力。	气血+80，内力+50<br>满重增益：反击+8%	(1,80)*(3,50)	(52,8)	3	NeigongImage33	910122	(10,0,60069,1)	910123	(10,0,60069,7)	910124	(10,0,60069,10)	987009
60070	星宿心法	当年星宿老怪所创的毒功，威力强大。	气血+100，内力+40<br>满重增益：气血+300，内力+200	(1,100)*(3,40)	(1,300)*(3,200)	6	NeigongImage33	910130	(10,0,60070,1)	910128	(10,0,60070,7)	100061	(10,0,60070,10)	987009
60071	声无哀乐	萧复自声无哀乐论中所领悟出来的奏琴技法，以无情之音动有情之人，心境空明之下洞悉对手思绪，寥寥数声便能使闻者心神大乱，魂牵梦萦。	内力+100<br>满重增益：暴、反、闪+5	(3,100)	(51,5)*(52,5)*(53,5)	5	NeigongImage33	710003	(10,0,60071,1)	710004	(10,0,60071,7)	710005	(10,0,60071,10)	987009
60072	化功大法	星宿老怪模仿北冥神功，以毒功为基本。本已失传，但江湖上似乎仍有残篇流传……	气血+80，内力+120<br>满重增益：气血+200，内力+300	(1,80)*(3,120)	(1,200)*(3,300)	9	NeigongImage33	100063	(10,0,60072,1)	100064	(10,0,60072,7)	100062	(10,0,60072,10)	987024
60073	龙象般若功	藏传密宗佛门的绝世武学，每一击都有龙象之力，功力成倍递增。	气血+180，内力+120<br>满重增益：暴击+10%，内力+500	(1,180)*(3,120)	(53,10)*(3,500)	8	NeigongImage33	100015	(10,0,60073,1)	100065	(10,0,60073,7)	100034	(10,0,60073,10)	987024
60074	苗蛊毒功	苗疆一带引蛊毒入体，修练内功之余，也会使体质和内力带毒。	气血+60，内力+40<br>满重增益：闪避+5%	(1,60)*(3,40)	(51,5)	6	NeigongImage33	500023	(10,0,60074,1)	100061	(10,0,60074,7)	0	(10,0,60074,10)	987024
60075	玄冥神功	昔年玄冥二老所修习的阴毒内功，已随二老身死而绝迹江湖。曾有一说，此功法其实根源于道家，乃高深的心法。	气血+100，内力+80<br>满重增益：暴击+5%，反击+5%	(1,100)*(3,80)	(52,5)*(53,5)	7	NeigongImage33	100078	(10,0,60075,1)	100017	(10,0,60075,7)	100024	(10,0,60075,10)	987024
70001	北冥无相功	北冥神功失传后，前几代掌门将残篇与小无相功相合，另辟蹊径创出的高深心法。	气血+160，内力+200<br>满重增益：内力+500，反击+10%	(1,160)*(3,200)	(52,10)*(3,500)	10	NeigongImage33	100021	(10,0,70001,1)	100042	(10,0,70001,7)	100043	(10,0,70001,10)	910069
70002	冷泉映月	胡家心法。以此心法配合快刀刀法，更有效益。	气血+140，内力+140<br>满重增益：暴击+5%	(1,140)*(3,140)	(53,5)	7	NeigongImage33	100036	(10,0,70002,1)	100074	(10,0,70002,7)	100023	(10,0,70002,10)	987009
70003	化功大法	星宿老怪模仿北冥神功，以毒功为基本。本已失传，但江湖上似乎仍有残篇流传……	无	(1,100)*(3,180)	(53,5)	9	NeigongImage33	100063	(10,0,70003,1)	100064	(10,0,70003,7)	100068	(10,0,70003,10)	987024
70004	紫霞功	华山气宗镇派内功，实为江湖上一流的儒家武学心法。	气血+80，内力+100 <br>满重增益：气血+200，反击+5%	(1,80)*(3,100)	(52,5)*(1,200)	6	NeigongImage32	100037	(10,0,70004,1)	100041	(10,0,70004,7)	100043	(10,0,70004,10)	987009
70005	神农琉璃功	数十年前百草门在神农架采药时，意外获得一块骨片，上面刻有一套内功修练图录。	气血+200，内力+100 <br>满重增益：气血+300	(1,200)*(3,100)	(1,300)	6	NeigongImage33	100029	(10,0,70005,1)	100044	(10,0,70005,7)	100030	(10,0,70005,10)	987024
70006	绣春刀阵	锦衣卫分进合击的配合法门。	无	(1,200)*(3,200)	(53,5)	6	NeigongImage33	100037	(10,0,70006,1)	100051	(10,0,70006,7)	100023	(10,0,70006,10)	987009
70007	天罗地网势	疑为昔年程、陆二人所收门徒传下的古墓派武功。可惜大半都已不全。	无	(1,200)*(3,200)	(53,5)	6	NeigongImage33	100033	(10,0,70007,1)	100038	(10,0,70007,7)	0	(10,0,70007,10)	987009
70008	莲花落阵	丐帮弟子必学的阵法，彼此配合之下，可发挥数倍实力。	无	(1,200)*(3,200)	(53,5)	6	NeigongImage33	100080	(10,0,70008,1)	100011	(10,0,70008,7)	0	(10,0,70008,10)	987009
70009	行天功	关家家传武功心法，配合大刀刀法，颇有几分威力。	气血+110，内力+110 <br>满重增益：气血+300	(1,110)*(3,110)	(1,500)	7	NeigongImage33	100039	(10,0,70009,1)	100050	(10,0,70009,7)	100011	(10,0,70009,10)	987024
70010	金风心法	金风镖局历经数代，集数十名镖头镖师所长而成的武学。粗浅易懂，却非滥俗的武功。	无	(1,200)*(3,200)	(53,5)	6	NeigongImage33	100077	(10,0,70010,1)	100045	(10,0,70010,7)	0	(10,0,70010,10)	987009
70011	天剑诀	刀剑门传下的心法，天剑门专精于剑，所悟得的多为御剑法门。	气血+110，内力+110 <br>满重增益：暴击+8%	(1,110)*(3,110)	(53,8)	6	NeigongImage33	100070	(10,0,70011,1)	100015	(10,0,70011,7)	100024	(10,0,70011,10)	987024
70012	绝刀势	刀剑门传下的心法，绝刀门专精于刀，所悟得的多为使刀诀窍。	气血+110，内力+110 <br>满重增益：防暴+10%	(1,110)*(3,120)	(57,10)	6	NeigongImage33	100055	(10,0,70012,1)	100032	(10,0,70012,7)	100012	(10,0,70012,10)	987024
70013	天山有雨	天山心法，源出于逍遥派，揉合何傲天自身所悟，宗旨近于道家。	气血+110，内力+110 <br>满重增益：闪避+5%	(1,110)*(3,110)	(51,5)	7	NeigongImage33	100049	(10,0,70013,1)	100077	(10,0,70013,7)	100038	(10,0,70013,10)	987009
70014	三苦神功	唐门心法，取意三苦八难，却与佛门之说无关。	气血+110，内力+110 <br>满重增益：暴击+5%	(1,110)*(3,110)	(53,5)	7	NeigongImage33	100035	(10,0,70014,1)	100062	(10,0,70014,7)	100058	(10,0,70014,10)	987024
70015	易筋经	少林七十二绝技之一，也是世上最为绝顶的武学，相传为达摩祖师融合天竺瑜珈所创。修习方式可参照秘籍上的图像由外而内；亦可熟读详解经文，由内而外。经文仅寥寥数百余字，但无一不是武学至理。	无	(1,200)*(3,200)	(1,500)	9	NeigongImage33	987221	(10,0,70015,1)	100055	(10,0,70015,7)	100054	(10,0,70015,10)	910069
70016	太极神功	武当祖师张三丰所创，乃是内家心法的表率，也是第一等的内功。与寻常武学理论大不相同，讲究阴阳相济，以柔韵刚，以慢御快。太极功寓至繁于至简中，经文浅显易懂，寻常人亦可轻易学习入门功法，以此练气养生。	无	(1,200)*(3,200)	(52,10)	8	NeigongImage33	100021	(10,0,70016,1)	100026	(10,0,70016,7)	100043	(10,0,70016,10)	987024
70017	降龙神功	柯降龙所习的内功，刚猛无俦，已窥见阳极阴生的端倪。	气血+200，内力+200 <br>满重增益：暴击+10%	(1,200)*(3,200)	(53,10)	9	NeigongImage33	100011	(10,0,70017,1)	100015	(10,0,70017,7)	100034	(10,0,70017,10)	910069
70018	万剑归宗	剑圣自修的内功，经过数十年如一日不断完善，已臻第一流武功心法。	气血+200，内力+200 <br>满重增益：暴击+10%	(1,200)*(3,200)	(53,10)	10	NeigongImage33	100081	(10,0,70018,1)	100014	(10,0,70018,7)	100050	(10,0,70018,10)	910069
70019	龙象般若功	藏传密宗佛门的绝世武学，每一击都有龙象之力，功力成倍递增。	无	(1,200)*(3,200)	(53,10)	7	NeigongImage33	100015	(10,0,70019,1)	100065	(10,0,70019,7)	100034	(10,0,70019,10)	987024
70020	霸秦神功	龙王所修习的无上内功，取义秦王霸道征天下之意。一往向前，以霸道蹂躏征服敌人。	气血+200，内力+200 <br>满重增益：暴击+10%	(1,200)*(3,200)	(53,10)	10	NeigongImage33	100011	(10,0,70020,1)	100082	(10,0,70020,7)	100083	(10,0,70020,10)	910069
70021	蛇虿大法	罗蛇君所擅长的阴毒内功，其中毒性多变，伤者如不得名医圣手施救，必死无疑。	气血+160，内力+160 <br>满重增益：反击+8%	(1,160)*(3,160)	(52,8)	7	NeigongImage33	100055	(10,0,70021,1)	100051	(10,0,70021,7)	100061	(10,0,70021,10)	987024
70022	吞吐诀	吃所学的一门独特练气之法，非出自于中土，吃之所以暴食，也与其这门内功有关。	气血+120，内力+160 <br>满重增益：暴击+5%	(1,120)*(3,160)	(53,5)	6	NeigongImage33	100031	(10,0,70022,1)	100065	(10,0,70022,7)	987213	(10,0,70022,10)	987009
70023	酩酊诀	喝的独门内功，越喝越醉，越醉越强。	气血+140，内力+140 <br>满重增益：反击+5%	(1,140)*(3,140)	(52,5)	6	NeigongImage33	100032	(10,0,70023,1)	100069	(10,0,70023,7)	500115	(10,0,70023,10)	987009
70024	九九神功	从房中术演变而来，其实原为玄黄之术，却被嫖硬生生练成了下九流的恶心功法。	气血+120，内力+140 <br>满重增益：闪避+5%	(1,120)*(3,140)	(51,5)	6	NeigongImage33	100033	(10,0,70024,1)	100073	(10,0,70024,7)	100077	(10,0,70024,10)	987009
70025	六合功	早年和人相赌时意外获得的一门奇功，不单单是武功心法，亦记载了奇门遁甲之术。	气血+140，内力+120 <br>满重增益：命中+5%	(1,140)*(3,120)	(55,5)	6	NeigongImage33	100019	(10,0,70025,1)	100040	(10,0,70025,7)	100079	(10,0,70025,10)	987009
70026	八部龙神阵	天龙教教众的阵法，可借邻近众人之力为己用。	气血+160，内力+160 <br>满重增益：气血+200，内力+200	(1,160)*(3,160)	(1,200)*(3,200)	5	NeigongImage33	987115	(10,0,70026,1)	0	(10,0,70026,7)	0	(10,0,70026,10)	987009
70027	甲贺忍法帖	天意城杀手的武学，疑似出自扶桑国。	气血+160，内力+160 <br>满重增益：气血+200，内力+200	(1,160)*(3,160)	(1,200)*(3,200)	5	NeigongImage33	100111	(10,0,70027,1)	0	(10,0,70027,7)	0	(10,0,70027,10)	987009
70028	梵天造化功	天王的武学，恐已是当代最强的武功心法，已超脱一般人所能理解之范畴。	气血+200，内力+200 <br>满重增益：气血+1000	(1,200)*(3,200)	(1,1000)	10	NeigongImage33	987237	(10,0,70028,1)	987238	(10,0,70028,7)	987239	(10,0,70028,10)	910069
70029	葵花宝典	昔年在江湖上引起轩然大波的神秘武功。据传，已被毁去，但事实上真是如此吗?	无	(1,200)*(3,200)	(53,5)*(4,1)	10	NeigongImage33	100074	(10,0,70029,1)	100016	(10,0,70029,7)	100014	(10,0,70029,10)	910069
70030	孔雀密咒	源于天竺的武学，修习方法极为传说中的瑜珈。	无	(1,200)*(3,200)	(53,5)	7	NeigongImage33	100034	(10,0,70030,1)	100029	(10,0,70030,7)	100054	(10,0,70030,10)	987024
70031	旱魃奇毒	傀尸炼尸之十，长年接触秘药和尸毒，尸毒入骨又产生异变，而变为更为猛烈的旱魃奇毒。	无	(1,200)*(3,200)	(53,5)	1	NeigongImage33	100061	(10,0,70031,1)	100062	(10,0,70031,7)	100063	(10,0,70031,10)	987024
70032	尸控	尸身之所以会动，乃是因为傀尸以线操作尸体行动。	气血+200，内力+120 <br>满重增益：命中+5%	(1,200)*(3,120)	(55,5)	5	NeigongImage33	100072	(10,0,70032,1)	100062	(10,0,70032,7)	0	(10,0,70032,10)	987024
70033	九阴真经	江湖上最为绝顶的功夫之一，书中所记载的武学包罗万象，博大精深，威力无俦。「天之道，损有余而补不足，是故虚胜实，不足胜有余。其意博，其理奥，其趣深。天地之像分，阴阳之侯烈，变化之由表，死生之兆章。」可谓九阴真经之宗旨。	无	(1,200)*(3,200)	(53,5)	9	NeigongImage33	100019	(10,0,70033,1)	100017	(10,0,70033,7)	100077	(10,0,70033,10)	910069
70034	血海魔功	柯尔克借鉴血刀经，将其更动改异为适合自己所用。	无	(1,200)*(3,200)	(53,5)	7	NeigongImage33	100035	(10,0,70034,1)	100016	(10,0,70034,7)	100065	(10,0,70034,10)	987024
70035	九阴残经	源于九阴真经，所载乃速成法门，虽初习时威力极大，却难登一流之境。	无	(1,200)*(3,200)	(53,5)	7	NeigongImage33	100019	(10,0,70035,1)	100017	(10,0,70035,7)	100077	(10,0,70035,10)	987024
70036	天邪神功	心残因缘际会下所得的内功心法，要旨在激发潜能，瞬间爆发出骇人的伤害。	无	(1,200)*(3,200)	(53,5)	7	NeigongImage33	100016	(10,0,70036,1)	100058	(10,0,70036,7)	100015	(10,0,70036,10)	987024
70037	玄冥神功	昔年玄冥二老所修习的阴毒内功，已随二老身死而绝迹江湖。曾有一说，此功法其实根源于道家，乃高深的心法。	无	(1,200)*(3,200)	(53,5)	7	NeigongImage33	100078	(10,0,70037,1)	100053	(10,0,70037,7)	100014	(10,0,70037,10)	987024
70038	寒蝠大阵	蝙蝠受欧阳笑操控，自发结成阵势攻击所有活物。	气血+100，内力+200 <br>满重增益：闪避+5%，身法上限+5	(1,100)*(3,200)	(51,5)*(18,5)	5	NeigongImage33	500023	(10,0,70038,1)	100033	(10,0,70038,7)	0	(10,0,70038,10)	987024
70039	无间大法	阎罗早年时意外获得的奇功，但修练时因体内阴气沉郁，导致肤色转为酱紫。	气血+190，内力+160 <br>满重增益：暴击+5%	(1,190)*(3,160)	(53,5)	10	NeigongImage33	100013	(10,0,70039,1)	100055	(10,0,70039,7)	100064	(10,0,70039,10)	910069
70040	苗蛊毒功	苗疆一带引蛊毒入体，修练内功之余，也会使体质和内力带毒。	无	(1,200)*(3,200)	(53,5)	7	NeigongImage33	500023	(10,0,70040,1)	100061	(10,0,70040,7)	100049	(10,0,70040,10)	987024
70041	妄魂三绝	以奇诡难测之法迷惑旁人的，并非上乘武学，但孟婆却将其发挥到了极致。	气血+120，内力+100 <br>满重增益：暴击+5%	(1,120)*(3,100)	(53,5)	7	NeigongImage33	100056	(10,0,70041,1)	100066	(10,0,70041,7)	100064	(10,0,70041,10)	987024
70042	杀神七诀	横炼的武功，完全契合罗煞的血性，死战不休，唯有燃烧至灰才会停下猛烈的进攻。	气血+120，内力+130 <br>满重增益：暴击+5%	(1,120)*(3,130)	(53,5)	7	NeigongImage33	100035	(10,0,70042,1)	100015	(10,0,70042,7)	0	(10,0,70042,10)	987024
70043	阴阳双生大法	黑白无常两人习练的一套合击武学，必须两人心意相通，合使此套武功才能发挥其中威力。	气血+140，内力+140 <br>满重增益：命中+5%	(1,140)*(3,140)	(55,5)	6	NeigongImage33	100068	(10,0,70043,1)	70023	(10,0,70043,7)	100064	(10,0,70043,10)	987009
70044	幽冥之息	阎罗将所学武功简化后，传授给亲信的酆都死士。此套武功绝不逊色于各大门派的武学。	无	(1,200)*(3,200)	(53,5)	6	NeigongImage33	987167	(10,0,70044,1)	100017	(10,0,70044,7)	0	(10,0,70044,10)	987009
70045	兽性大发	野兽的天生求生欲望，濒临危险时，显得更加凶猛。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	987189	(10,0,70045,1)	0	(10,0,70045,7)	0	(10,0,70045,10)	910167
70046	泼猴拜观音	泼猴野性大发，你真以为能学到什么绝世武功吗?	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100070	(10,0,70046,1)	0	(10,0,70046,7)	0	(10,0,70046,10)	987009
70047	魔高一丈功	滥大街的不入流武功，偏偏取了个乍看之下颇为霸气的名字。没文化，伤不起啊。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100070	(10,0,70047,1)	100073	(10,0,70047,7)	0	(10,0,70047,10)	987009
70048	三千若水	扶桑阴阳师借用中国道家理论，综合而成的内功心法。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	500015	(10,0,70048,1)	100016	(10,0,70048,7)	100020	(10,0,70048,10)	910069
70049	飞天御剑流	传自扶桑战国时代的超神速剑法，可惜没学到家。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100075	(10,0,70049,1)	100076	(10,0,70049,7)	100037	(10,0,70049,10)	987009
70050	无妄神功	无妄：元亨利贞。 其匪正有眚，不利有攸往。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100013	(10,0,70050,1)	100023	(10,0,70050,7)	100024	(10,0,70050,10)	910069
70051	魔音穿脑	受魔音操控，自发结成阵势攻击所有活物。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	910004	(10,0,70051,1)	0	(10,0,70051,7)	0	(10,0,70051,10)	910069
70052	莲花落阵	丐帮弟子必学的阵法，彼此配合之下，可发挥数倍实力。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100101	(10,0,70052,1)	0	(10,0,70052,7)	0	(10,0,70052,10)	910069
70053	天剑阵	天剑门弟子必学的阵法，彼此配合之下，可发挥数倍实力。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100103	(10,0,70053,1)	0	(10,0,70053,7)	0	(10,0,70053,10)	910069
70054	绝刀阵	绝刀门弟子必学的阵法，彼此配合之下，可发挥数倍实力。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100104	(10,0,70054,1)	0	(10,0,70054,7)	0	(10,0,70054,10)	910069
70055	天羽阵	天山弟子必学的阵法，奇妙万千，难以测度。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100105	(10,0,70055,1)	0	(10,0,70055,7)	0	(10,0,70055,10)	910069
70056	唐门镖阵	唐门弟子必学的阵法，彼此配合，让暗器覆盖面更大更广。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100106	(10,0,70056,1)	0	(10,0,70056,7)	0	(10,0,70056,10)	910069
70057	八卦阵	八卦门弟子必学的阵法，非仅仅是合力攻击，而是蕴含五行八卦之理。可惜商氏父子不擅长此道。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100107	(10,0,70057,1)	0	(10,0,70057,7)	0	(10,0,70057,10)	910069
70058	七剑大阵	铸剑山庄镇庄之阵，着重守御，七名护剑使为一组，以沉重的钢剑互相掩护配合，弥补自身弱点。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100108	(10,0,70058,1)	0	(10,0,70058,7)	0	(10,0,70058,10)	910069
70059	血鲨阵	海鲨帮从军队战阵之法中偷师，虽不若江湖门派的玄妙，但人数越多，越能见其威力。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100109	(10,0,70059,1)	0	(10,0,70059,7)	0	(10,0,70059,10)	910069
70060	修罗怒杀阵	修罗宫几乎绝足江湖，无人能一窥其中奥妙。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100112	(10,0,70060,1)	0	(10,0,70060,7)	0	(10,0,70060,10)	987009
70061	雌雄龙虎阵	青城镇派阵法，分阴阳龙虎二阵，需彼此配合方能发挥其中威力。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100113	(10,0,70061,1)	0	(10,0,70061,7)	0	(10,0,70061,10)	910069
70062	紫霞大阵	华山得传紫霞功的菁英弟子方能学习的的剑阵，气劲交相辉映，无孔不入，难以抵挡。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100114	(10,0,70062,1)	0	(10,0,70062,7)	0	(10,0,70062,10)	910069
70063	铜人刀阵	少林铜人阵习练刀法弟子必学的阵法，彼此配合，联合进击，固若金汤。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100115	(10,0,70063,1)	0	(10,0,70063,7)	0	(10,0,70063,10)	910069
70064	铜人棍阵	少林铜人阵习练棍法弟子必学的阵法，彼此配合，联合进击，固若金汤。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100116	(10,0,70064,1)	0	(10,0,70064,7)	0	(10,0,70064,10)	910069
70065	铜人拳阵	少林铜人阵习练拳掌弟子必学的阵法，彼此配合，联合进击，固若金汤。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100117	(10,0,70065,1)	0	(10,0,70065,7)	0	(10,0,70065,10)	910069
70066	江湖内功	江湖上滥俗的武功。	气血+100，内力+100 <br>满重增益：暴击+5%	(1,100)*(3,100)	(53,5)	5	NeigongImage33	100070	(10,0,70066,1)	0	(10,0,70066,7)	0	(10,0,70066,10)	987009
70067	武林内功	江湖上滥俗的武功。	气血+150，内力+150 <br>满重增益：反击+5%	(1,150)*(3,150)	(52,5)	5	NeigongImage33	100070	(10,0,70067,1)	0	(10,0,70067,7)	0	(10,0,70067,10)	987009
70068	侠客内功	江湖上滥俗的武功。	气血+100，内力+200 <br>满重增益：闪避+5%	(1,100)*(3,200)	(51,5)	5	NeigongImage33	100070	(10,0,70068,1)	0	(10,0,70068,7)	0	(10,0,70068,10)	987009
70069	正气诀	华山派的调息心法，对于修练内力与根骨有相当帮助。	内力+40 [c][12C0D3]<br>满重增益：根骨上限+5[-][/c]<br>回复内力	(3,40)	(16,5)	4	NeigongImage33	100131	(10,0,70069,1)	100149	(10,0,70069,7)	100152	(10,0,70069,10)	987009
70070	连山诀	华山派的调息心法，对于修练气血与臂力有相当帮助。	气血+80 [c][12C0D3]<br>满重增益：臂力上限+5[-][/c]<br>回复气血	(1,80)	(15,5)	4	NeigongImage33	100130	(10,0,70070,1)	100148	(10,0,70070,7)	100151	(10,0,70070,10)	987009
70071	梯云踪	武当派轻身法门，修练至顶重，可使修为者的身法上限得到突破。此外修练过程中，对于内力提升也有少许帮助。	内力+30 [c][12C0D3]<br>满重增益：身法上限+5 移动格数+1[-][/c]<br>一重：闪避增加 七重：神行	(3,30)	(18,5)*(4,1)	4	NeigongImage33	100132	(10,0,70071,1)	100014	(10,0,70071,7)	100153	(10,0,70071,10)	987009
70072	玄女经	古道家房中秘术，深信阴阳调合之道。若是修练得当，对修为者自身大有帮助。	气血+60，内力+30 [c][12C0D3]<br>满重增益：臂力上限+5，身法上限+5[-][/c]<br>回复内力，气血	(1,60)*(3,30)	(15,5)*(18,5)	6	NeigongImage33	100131	(10,0,70072,1)	100148	(10,0,70072,7)	100152	(10,0,70072,10)	987009
70073	真武蛇阵	武当弟子入门学习的的两套剑阵之一，此为灵活擅攻的蛇阵。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	900054	(10,0,70073,1)	0	(10,0,70073,7)	0	(10,0,70073,10)	987009
70074	真武龟阵	武当弟子入门学习的的两套剑阵之一，此为沉稳固守的龟阵。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	900055	(10,0,70074,1)	0	(10,0,70074,7)	0	(10,0,70074,10)	987009
70075	七截阵头	武当阵派大阵:真武七截阵的简易版。虽然威力略逊，但习练也较为简单。	无	(1,200)*(3,200)	(53,5)	5	NeigongImage33	100029	(10,0,70075,1)	100033	(10,0,70075,7)	0	(10,0,70075,10)	987009
70076	天雪功	花郎于长白山大雪中所悟的武功秘诀，天下绝无仅有。	无	(1,200)*(3,160)	(4,1)*(51,5)	5	NeigongImage33	910076	(10,0,70076,1)	910077	(10,0,70076,7)	0	(10,0,70076,10)	987024
70077	九阴真经	天之道，损有余而补不足，是故虚胜实，不足胜有余。	气血+100，抗暴、抗反、命中+1% [c][12C0D3]<br>满重增益：四维+5，四维上限+5[-][/c]<br>暴击后霸体	(1,100)*(55,1)*(56,1)*(57,1)	(11,5)*(12,5)*(13,5)*(14,5)*(15,5)*(16,5)*(17,5)*(18,5)	9	NeigongImage33	100034	(10,0,70077,1)	0	(10,0,70077,7)	0	(10,0,70077,10)	987024
70078	左右互搏之术	当年中顽童所创的功夫，修练者必须要能左手画方、右手画圆，心分二用。	气血+50，内力+30 [c][12C0D3]<br>满重增益：抗反+10%[-][/c]<br>左右互搏	(1,50)*(3,30)	(56,10)	6	NeigongImage25	100119	(10,0,70078,1)	0	(10,0,70078,7)	0	(10,0,70078,10)	987009
70079	金翼神功	白神捕最为人所津津乐道的除了爪功，便是这套阳刚轻灵的内功。	无	(1,200)*(3,200)	(51,8)*(4,1)	7	NeigongImage33	500014	(10,0,70079,1)	500008	(10,0,70079,7)	500003	(10,0,70079,10)	987024
